3,Allô ?,Hallo? (am Telefon)
3,Pirou,Familienname
3,un train,ein Zug
3,Munich,München
3,demain,morgen
3,ton/ta/tes,dein/deine
3,mon/ma/mes,mein/meine
3,C’est dommage.,Das ist schade.
3,inviter qn,jemanden einladen
3,allemand,deutsch
3,en allemand,auf Deutsch
3,A bientôt!,Bis bald!
3,maman (f.),Mama; Mutti
3,une chambre,ein (Schlaf-)Zimmer
3,une bougie,eine Kerze
3,un gâteau/des gâteaux,ein Kuchen/Kuchen
3,ranger qc,etwas aufräumen
3,s’il te plaît,bitte (wenn man jemanden duzt)
3,maintenant,jetzt
3,un jeu/des jeux,ein Spiel/Spiele
3,un jeu vidéo/des jeux vidéo,ein Computerspiel/Computerspiele
3,une affaire,eine Sache; eine Angelegenheit
3,comme,wie
3,préférer,vorziehen; lieber mögen
3,toujours,immer
3,une famille,eine Familie
3,un/une enfant,ein Kind
3,les grands-parents (m.),die Großeltern
3,un grand-père,ein Großvater
3,les parents (m.),die Eltern
3,un père,ein Vater
3,une mère,eine Mutter
3,un oncle,ein Onkel
3,une tante,eine Tante
3,un fils,ein Sohn
3,une demi-sœur,eine Halbschwester
3,un demi-frère,ein Halbbruder
3,un cousin/une cousine,ein Cousin/eine Cousine
3,son/sa; ses (+ Nomen),sein/seine; ihr/ihre
3,C’est ça ?,Stimmt’s?
3,avoir,haben
3,encore,noch
3,un DVD,eine DVD
3,avoir faim,Hunger haben
3,manger qc,etwas essen
3,souffler qc,etwas ausblasen
3,puis,dann
3,chanter,singen
3,avoir onze ans,elf Jahre alt sein
3,avoir envie de faire qc,"Lust haben, etwas zu tun"
3,sur,auf; über
3,une surprise,eine Überraschung
3,un mois,ein Monat
3,une année,ein Jahr
3,quand,wann
3,le premier,der erste
3,janvier (m.),Januar
3,février (m.),Februar
3,mars (m.),März
3,avril (m.),April
3,mai (m.),Mai
3,juin (m.),Juni
3,juillet (m.),Juli
3,août (m.),August
3,septembre (m.),September
3,octobre (m.),Oktober
3,novembre (m.),November
3,décembre (m.),Dezember
3,l’âge (m.),das Alter
3,il s’appelle,er heißt
3,treize,dreizehn
3,quatorze,vierzehn
3,quinze,fünfzehn
3,seize,sechzehn
3,dix-sept,siebzehn
3,dix-huit,achtzehn
3,dix-neuf,neunzehn
3,vingt,zwanzig
3,vingt-et-un,einundzwanzig
3,vingt-deux,zweiundzwanzig
3,vingt-trois,dreiundzwanzig
3,vingt-quatre,vierundzwanzig
3,vingt-cinq,fünfundzwanzig
3,vingt-six,sechsundzwanzig
3,vingt-sept,siebenundzwanzig
3,vingt-huit,achtundzwanzig
3,vingt-neuf,neunundzwanzig
3,trente,dreißig
3,trente et un,einunddreißig
3,trente-deux,zweiunddreißig
3,trente-trois,dreiunddreißig
3,trente-quatre,vierunddreißig
3,trente-cinq,fünfunddreißig
3,trente-six,sechsunddreißig
3,trente-sept,siebenunddreißig
3,trente-huit,achtunddreißig
3,trente-neuf,neununddreißig
4,un collège,ein Collège
4,"Balzac, Honoré de","französischer Schriftsteller; 1799-
1850"
4,une cour,ein (Schul-)Hof
4,une classe,eine Klasse
4,un élève/une élève,ein Schüler/eine Schülerin
4,jouer,spielen
4,un cours,eine Unterrichtsstunde
4,être en retard,zu spät kommen
4,un CDI (contrat à durée indéterminée),ein CDI
4,une cantine,eine Kantine; eine Mensa
4,une infirmerie,eine Krankenstation
4,Aïe !,Aua!
4,un pied,ein Fuß
4,une journée,ein Tag
4,une heure,eine Stunde
4,sept heures,sieben Uhr
4,un lit,ein Bett
4,sept heures et demie,halb acht
4,les toilettes (f.) (pl.),die Toilette
4,huit heures et quart,Viertel nach acht
4,Racine,Familienname
4,midi,zwölf Uhr (mittags)
4,commencer,anfangen; beginnen
4,après,nach; danach
4,rentrer,zurückkommen; nach Hause gehen
4,six heures moins le quart,Viertel vor sechs
4,chez qn,bei jemandem
4,la télévision,das Fernsehen
4,Quelle heure est-il?,Wie viel Uhr ist es?; Wie spät ist es?
4,à quelle heure?,um wie viel Uhr?
4,de … à,von … bis
4,une clé,ein Schlüssel
4,lundi (m.),Montag; am Montag
4,aller,gehen; fahren
4,ne … pas,nicht
4,la 6eA,die Klasse 6A
4,une minute,eine Minute
4,Barette,Familienname
4,un professeur/une professeure,ein Lehrer/eine Lehrerin
4,sous,unter
4,quand,wenn; als (zeitlich)
4,une salle de cours,ein Klassenraum
4,Excusez-moi.,Entschuldigen Sie.; Entschuldigung.
4,une place,ein Platz
4,la main,die Hand
4,la récréation,die Pause
4,retrouver qn/qc,jemanden treffen; etwas wiederfinden
4,en 6eB,in der 6B
4,raconter qc,etwas erzählen
4,Il/Elle est à qui?,Wem gehört er/sie/es?
4,Je ne sais pas.,Ich weiß nicht.
4,Ce ne sont pas mes affaires.,Das sind nicht meine Sachen.
4,discuter (de qc),(über etwas) diskutieren; sich (über etwas) unterhalten
4,lundi (m.),Montag; am Montag
4,mardi (m.),Dienstag; am Dienstag
4,mercredi (m.),Mittwoch; am Mittwoch
4,jeudi (m.),Donnerstag; am Donnerstag
4,vendredi (m.),Freitag; am Freitag
4,samedi (m.),Samstag; am Samstag
4,dimanche (m.),Sonntag; am Sonntag
4,le temps,die Zeit
4,l’emploi (m.) du temps,der Stundenplan
4,un mot,ein Wort
4,un gymnase,eine Turnhalle
4,un rêve,ein Traum
4,cool (fam.),cool
4,cliquer,klicken
4,notre/nos,unser/unsere
4,votre/vos,euer/eure; Ihr/Ihre
4,leur/leurs,ihr/ihre
4,une interrogation écrite,eine Schulaufgabe
4,quelque chose,etwas
4,un sac,eine Tasche
4,faire qc,etw. machen; etw. tun
4,une copie,eine Kopie
4,un exercice,eine Übung
4,si,doch
4,comme ça,so; auf diese Weise
4,avoir raison,recht haben
4,ne … jamais,nie; niemals
4,ne … plus,nicht mehr
4,ne … rien,nichts
4,les devoirs (m.) (pl.),die (Haus-)Aufgaben
4,une partie,ein Teil
4,un titre,Titel
4,la fin,das Ende; der Schluss
4,derrière,hinter
5,un quartier,ein Stadtviertel
5,Batignolles,Batignolles (Name eines Viertels in Paris)
5,le/la dix-septième,"der, die, das siebzehnte"
5,un arrondissement,ein Arrondissement (ein Verwaltungsbezirk)
5,une photo,ein Foto
5,un parc,ein Park
5,le roller,das Inlineskaten
5,une avenue,eine Straße; eine Avenue
5,Interclub 17,Interclub 17 (Name eines Jugendzentrums)
5,une activité,eine Freizeitbeschäftigung
5,tout le monde,alle; jeder
5,une buvette,ein Getränkestand; ein Imbissstand
5,un taxi,ein Taxi
5,aller faire qc,etwas tun werden
5,passer qc,etwas verbringen
5,la nuit,die Nacht
5,une entrée,ein Eingang
5,le soir,der Abend
5,ce soir,heute Abend
5,un jour,ein Tag
5,"A plus, ma puce!","Bis später, mein Kleines."
5,une voiture,ein Auto
5,en voiture,mit dem Auto
5,loin,weit (Adv.)
5,à pied,zu Fuß
5,un week-end,ein Wochenende
5,un appartement,eine Wohnung
5,une pièce,ein Zimmer
5,une salle de bains,ein Bad; ein Badezimmer
5,un salon,ein Wohnzimmer
5,une table,ein Tisch
5,Chabane,französischer Familienname
5,un repas,ein Essen; eine Mahlzeit
5,minuit (m.),Mitternacht; 12 Uhr nachts
5,le matin,der Morgen
5,un tour,eine Tour; ein Rundgang
5,le samedi,samstags
5,l’après-midi (m.) (f.),der Nachmittag; nachmittags
5,faire du judo,Judo machen; Judo betreiben
5,l’athlétisme (m.),die Leichtathletik
5,je voudrais …,ich möchte gerne …
5,le bruit,das Geräusch; der Lärm
5,déjà,schon
5,tard,spät
5,une cuisine,eine Küche
5,quitter qc,etwas verlassen
5,des spaghettis (m.) (pl.),Spaghetti
5,la natation,das Schwimmen
5,la danse,der Tanz; das Tanzen
5,le théâtre,das Theater
5,une guitare,eine Gitarre
5,comme,als
5,pour faire qc,um etwas zu tun
5,à droite,(nach) rechts
5,tourner,drehen; abbiegen
5,à gauche,(nach) links
5,une boulangerie,eine Bäckerei
5,tout droit,geradeaus
5,un café,ein Café
5,traverser qc,etwas überqueren
5,un carrefour,eine Kreuzung
5,"Vous pouvez répéter, s’il vous plaît?",Können Sie bitte wiederholen?
5,Merci beaucoup!,Vielen Dank!
5,la poste,die Post
5,une piscine,ein Schwimmbad
5,un champion/une championne,ein Champion; ein Meister/eine Meisterin
5,un numéro,eine Nummer
5,un combat,ein Kampf
5,vraiment,wirklich
5,même,sogar
5,une interview,ein Interview
5,est-ce que,Frageformel
5,gagner qc,etwas gewinnen
5,poser qc,etw. setzen; etwas stellen; etwas legen
5,une question,eine Frage
5,Comment est-ce que ...?,Wie ... ?
5,tomber,fallen
5,faire mal,wehtun
5,pourquoi ?,warum?
5,parce que,weil
5,trop,zu viel; zu sehr
5,C’est trop nul ! (fam.),Das ist zu blöd! (ugs.)
5,avoir mal,Schmerzen haben
5,le parc des Batignolles,der Park von Batignolles
5,un portable,ein Handy; ein Mobiltelefon
5,un SMS,eine SMS
5,un film,ein Film
5,avoir soif,Durst haben
5,prendre qc,etwas nehmen; hier: essen
5,une gaufre,eine Waffel
5,Ça coûte combien?,Wie viel kostet das?
5,quarante,vierzig
5,quarante-et-un,einundvierzig
5,quarante-deux,zweiundvierzig
5,quarante-trois,dreiundvierzig
5,quarante-quatre,vierundvierzig
5,quarante-cinq,fünfundvierzig
5,quarante-six,sechsundvierzig
5,quarante-sept,siebenundvierzig
5,quarante-huit,achtundvierzig
5,quarante-neuf,neunundvierzig
5,cinquante,fünfzig
5,cinquante-et-un,einundfünfzig
5,cinquante-deux,zweiundfünfzig
5,cinquante-trois,dreiundfünfzig
5,cinquante-quatre,vierundfünfzig
